ID,FECHA,PUNTO,USERNAME
1.47566E+18,2021-12-27T20:41:50.000-06:00,POINT (-110.15718648 24.24914799),CastaedaHoney
1.4756E+18,2021-12-27T16:55:34.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47552E+18,2021-12-27T11:13:50.000-06:00,POINT (-96.7655772 17.0462761),eduardospl96
1.47552E+18,2021-12-27T11:42:24.000-06:00,POINT (-87.7167 18.7167),zackpapayo
1.47604E+18,2021-12-28T21:54:15.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47604E+18,2021-12-28T21:56:05.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47589E+18,2021-12-28T12:07:23.000-06:00,POINT (-94.571056 18.0541695),OHelectronics
1.47601E+18,2021-12-28T20:11:27.000-06:00,POINT (-98.197911 19.215288),geolocationms
1.47601E+18,2021-12-28T20:11:22.000-06:00,POINT (-98.197911 19.215288),geolocationms
1.47553E+18,2021-12-27T12:26:11.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47551E+18,2021-12-27T10:53:04.000-06:00,POINT (-114.31 29.35),DepremDunya
1.47551E+18,2021-12-27T10:51:36.000-06:00,POINT (-114.31 29.35),eq_map_es2
1.47566E+18,2021-12-27T20:55:33.000-06:00,POINT (-102.366667 23.316667),HermesHernandz
1.47544E+18,2021-12-27T06:19:12.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47598E+18,2021-12-28T17:54:44.000-06:00,POINT (-103.913 19.1426),BarajasBrianda
1.47604E+18,2021-12-28T22:11:33.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:47.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:52.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:59.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:20.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:21.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:23.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:25.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:26.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47604E+18,2021-12-28T22:11:27.000-06:00,POINT (-98.197901 19.215289),geolocationms
1.47562E+18,2021-12-27T18:16:56.000-06:00,POINT (-100.11472495 25.77727814),rubengzzalcala
1.47556E+18,2021-12-27T13:57:48.000-06:00,POINT (-99.37596202 19.24107973),mawaenriquez
1.47565E+18,2021-12-27T20:12:12.000-06:00,POINT (-97.67693705 15.96810524),abrahamreyes90
1.4755E+18,2021-12-27T10:23:08.000-06:00,POINT (-86.87357426 21.03953966),MarcPSummers
1.47561E+18,2021-12-27T17:16:15.000-06:00,POINT (-98.01359515 19.04367144),luisarturosaenz
1.47555E+18,2021-12-27T13:18:04.000-06:00,POINT (-99.37596202 19.24107973),mawaenriquez
1.47549E+18,2021-12-27T09:18:14.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47564E+18,2021-12-27T19:36:10.000-06:00,POINT (-96.71818043 17.09734554),alex_neox
1.47549E+18,2021-12-27T09:33:12.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47549E+18,2021-12-27T09:33:14.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47598E+18,2021-12-28T18:11:22.000-06:00,POINT (-98.197815 19.21513),geolocationms
1.47598E+18,2021-12-28T18:12:02.000-06:00,POINT (-98.197816 19.215129),geolocationms
1.47598E+18,2021-12-28T18:12:03.000-06:00,POINT (-98.197816 19.215129),geolocationms
1.47598E+18,2021-12-28T18:12:04.000-06:00,POINT (-98.197816 19.215129),geolocationms
1.47598E+18,2021-12-28T18:11:45.000-06:00,POINT (-98.197816 19.21513),geolocationms
1.47598E+18,2021-12-28T18:11:48.000-06:00,POINT (-98.197816 19.21513),geolocationms
1.47598E+18,2021-12-28T18:11:55.000-06:00,POINT (-98.197816 19.215129),geolocationms
1.47598E+18,2021-12-28T18:11:57.000-06:00,POINT (-98.197816 19.215129),geolocationms
1.47597E+18,2021-12-28T17:27:03.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47571E+18,2021-12-28T00:20:37.000-06:00,POINT (-98.4471004 18.85377815),LuisargentinoG
1.47597E+18,2021-12-28T17:34:43.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47604E+18,2021-12-28T21:44:06.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47598E+18,2021-12-28T18:11:21.000-06:00,POINT (-98.197815 19.21513),geolocationms
1.47598E+18,2021-12-28T18:11:22.000-06:00,POINT (-98.197815 19.21513),geolocationms
1.47595E+18,2021-12-28T15:42:59.000-06:00,POINT (-86.97470377 20.4780781),dstelzeresq
1.47598E+18,2021-12-28T18:11:33.000-06:00,POINT (-98.197816 19.21513),geolocationms
1.47598E+18,2021-12-28T18:11:40.000-06:00,POINT (-98.197816 19.21513),geolocationms
1.47589E+18,2021-12-28T11:46:52.000-06:00,POINT (-100.063065 19.854276),nitanjudia
1.47593E+18,2021-12-28T14:35:14.000-06:00,POINT (-86.79810412 21.3296635),AnnyStar_
1.47576E+18,2021-12-28T03:19:32.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.4759E+18,2021-12-28T12:56:11.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47591E+18,2021-12-28T13:02:41.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.476E+18,2021-12-28T19:20:27.000-06:00,POINT (-98.15 18.95),soyfernandoyael
1.47585E+18,2021-12-28T09:41:08.000-06:00,POINT (-87.07986832 20.6129426),PatyGallardo
1.47635E+18,2021-12-29T18:19:23.000-06:00,POINT (-110.31576373 24.16791773),ViveLaPazMexico
1.4763E+18,2021-12-29T15:00:04.000-06:00,POINT (-87.43229245 20.21611349),cgcanas
1.4763E+18,2021-12-29T15:02:48.000-06:00,POINT (-87.47809547 20.0679174),LiveRitually
1.47641E+18,2021-12-29T22:23:55.000-06:00,POINT (-103.47457266 20.71600016),omyzt
1.47638E+18,2021-12-29T20:31:21.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47634E+18,2021-12-29T17:43:50.000-06:00,POINT (-87.70746231 18.72039777),Linisho_Fdez
1.47599E+18,2021-12-28T18:44:05.000-06:00,POINT (-99.90833333 16.82222222),DreyarTony
1.47602E+18,2021-12-28T20:30:13.000-06:00,POINT (-109.95063424 27.52713615),joel_lunaobr
1.47604E+18,2021-12-28T22:17:17.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47584E+18,2021-12-28T08:44:09.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
